CID,IsomericSMILES,CanonicalSMILES
9444,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
47751,C1=NC(=NC(=O)N1[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O)N,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
